Russia	17098246	145734038	1710734
Canada	9984670	37074562	1883487
China	9596961	1427647786	16642318
United-States	9525067	327096265	22675271
Brazil	8515767	209469323	1491772
Australia	7692024	24898152	1617543
India	3287263	1352642280	3049704
Argentina	2780400	44361150	418150
Kazakhstan	2724900	18319618	187836
Algeria	2381741	42228408	151459
